"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_2.5_ 2x 2_local","2020",FALSE,3.64920997648685,-0.723362707225217,0.964755864005651,-16.5431831452399,22.0638039385689,0.964755864005651,1.56426847967821,0.939279690546688,3.05483762765109,-0.722694992188683,-19.1314030855235,0.747548520511285,0,0,-1,-1,-2,2.5,2,22.2352603991826
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_5.0_ 2x 2_local","2020",FALSE,8.47224509144239,-0.960184546388744,1.31913712722364,-10.1796099547637,13.9851255495499,1.31913712722364,2.09133687258174,0.98235891512175,7.45394418946309,-1.09679747765663,-12.8269280064226,0.98896791241112,0,0,0,-2,-3,5,2,36.2811973174413
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_5.0_ 2x 2_local","2020",FALSE,5.20800373920764,-0.535807394129471,1.09272141140294,-9.32842988202803,19.0243269849312,1.09272141140294,1.63819901162747,0.969949943005353,4.7053470387762,-0.900700629315234,-16.0665888455043,0.629977331400209,0,1,0,-1,-2,5,2,19.0877795616786
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_5.0_ 2x 2_local","2020",FALSE,3.5436765147033,-0.828896169008773,1.21498804193961,-18.9567156218221,27.7865716552972,1.21498804193961,1.88703865682808,0.905679902751174,2.86540729088742,-0.912125328952349,-24.1460609542278,0.886847620403137,0,0,-1,-1,-2,5,2,22.6854549924533
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_10.0_ 2x 2_local","2020",FALSE,7.78012317475595,-1.65230646307519,2.20814657620525,-17.5172943400309,23.4101568841703,2.20814657620525,3.32395525944692,0.963345176893716,6.48895948800538,-2.06178217911434,-24.1123198358633,1.74307390485481,0,-1,0,-3,-6,10,2,36.4183139761289
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_10.0_ 2x 2_local","2020",FALSE,5.04376833512706,-0.700042798210046,1.65869192711982,-12.1877753630685,28.8778981170318,1.65869192711982,2.41525901906263,0.942109929511186,3.93614066047211,-1.66990700761932,-29.7875991516111,1.15810140075566,1,1,0,-2,-4,10,2,18.9684802015622
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_10.0_ 2x 2_local","2020",FALSE,3.43478806417344,-0.93778461953863,1.57164861687593,-21.4469761253346,35.9433388661636,1.57164861687593,2.33024813084352,0.838742488118168,2.60315396268208,-1.17437865715769,-31.0885113470576,1.04774639223184,0,0,-1,-2,-3,10,2,21.791639093558
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_15.0_ 2x 2_local","2020",FALSE,7.279501259419,-2.15292837841214,2.89900795796959,-22.8247488831221,30.734477428195,2.89900795796959,4.29453323045661,0.943042428835901,5.67285744515736,-2.87788422196236,-33.656545057708,2.32851810671315,0,0,0,-4,-8,15,2,37.7562631368637
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_15.0_ 2x 2_local","2020",FALSE,4.95824718364784,-0.785563949689272,2.10585739346873,-13.676702305371,36.663068206514,2.10585739346873,3.03237580584698,0.903842430650448,3.38628560609396,-2.21976206199747,-39.5958470819279,1.57248876928248,1,1,0,-2,-6,15,2,18.2887070655823
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_15.0_ 2x 2_local","2020",FALSE,3.41351568081926,-0.959057002892812,1.81534662283106,-21.9334719458254,41.5166711714883,1.81534662283106,2.61379539497461,0.77664695943602,2.43418942121236,-1.34334319862741,-35.5613924171591,1.11787292861994,0,0,-1,-2,-3,15,2,21.9468010981878
