"mode","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","49UCP","49UCP_shuffle_2.5_  4x  4_ST512","2020",FALSE,2.44417864804171,-0.011895632550698,0.186606670668879,-0.484335211060018,7.59776168593196,0.186606670668879,0.622242726222315,0.986710989631346,3.76077988099139,-0.0668000862842226,-1.74523032452198,0.0342639117460454,0,0,0,0,0,2.5,4,8.33573150634766
"shuffle","55HEV","55HEV_shuffle_2.5_  4x  4_ST512","2020",FALSE,5.41166650778714,-0.0419945467196294,0.245292116765546,-0.770024875031906,4.49775140614657,0.245292116765546,0.623797774351429,0.994502417739376,5.61316112169578,-0.173790616195443,-3.00314611330718,0.131116308466164,0,0,0,0,-1,2.5,4,11.2863518953323
"shuffle","34UFD","34UFD_shuffle_5.0_  4x  4_ST512","2020",FALSE,3.61913356173795,-0.18710637518561,0.514671365874947,-4.91577983223098,13.5217793519064,0.514671365874947,1.01213447972952,0.953971071037686,3.04334947055703,-0.255383111207791,-7.74185554232349,0.222541294573947,0,0,0,0,-1,5,4,13.0737796107928
"shuffle","35VML","35VML_shuffle_5.0_  4x  4_ST512","2020",FALSE,2.72521171040682,0.0455434740567089,0.327324099201804,1.69959375712652,12.2150979274823,0.327324099201804,0.722791801034708,0.922411442247363,1.81488328997124,-0.0296552436224813,-1.60773239931746,0.0593771121698863,0,0,1,0,0,5,4,9.04424744447072
"shuffle","49NHC","49NHC_shuffle_5.0_  4x  4_ST512","2020",FALSE,38.6535648497992,-1.45013673239216,1.5547808640168,-3.61596729274516,3.8769011404853,1.5547808640168,2.50395782262838,0.953969734591932,6.8059195600268,0.340809310083117,5.27151582737642,1.45015949932976,-3,-2,-1,-1,-1,5,4,6.45624494155248
"shuffle","49UCP","49UCP_shuffle_5.0_  4x  4_ST512","2020",FALSE,2.43275801460643,-0.0233162659859731,0.317363974671712,-0.949330652180001,12.9215951316897,0.317363974671712,0.853307163872959,0.974901440245642,3.69393664236683,-0.133643324908779,-3.49158805436803,0.0688042718469177,0,0,0,0,0,5,4,8.96735368172328
"shuffle","55HEV","55HEV_shuffle_5.0_  4x  4_ST512","2020",FALSE,5.37440401056788,-0.07925704393889,0.43135426834765,-1.4532814406094,7.90944402368368,0.43135426834765,0.884191998517594,0.989525203935058,5.44774648661793,-0.339205251273293,-5.86155313949276,0.256871864210171,0,0,0,0,-1,5,4,11.2450408975283
"shuffle","34UFD","34UFD_shuffle_10.0_  4x  4_ST512","2020",FALSE,3.48594717700311,-0.320292759920453,0.820077567746017,-8.41493876445776,21.5456088248828,0.820077567746017,1.40975751493336,0.91058021550694,2.84323006059204,-0.455502521172782,-13.8084100448387,0.389035477001525,0,0,0,-1,-1,10,4,13.3576308925947
"shuffle","35VML","35VML_shuffle_10.0_  4x  4_ST512","2020",FALSE,2.77568169494855,0.0960134585984354,0.534418106013194,3.58303529130949,19.9434429517703,0.534418106013194,0.964879543155027,0.860693348118722,1.78725254637663,-0.0572859872170837,-3.10570834784748,0.12269960291749,0,0,1,0,0,10,4,10.3021656473478
"shuffle","49NHC","49NHC_shuffle_10.0_  4x  4_ST512","2020",FALSE,37.2020760645327,-2.90162551765859,2.99638181235549,-7.23530597720959,7.47158415343405,2.99638181235549,4.24031140661654,0.902757922075957,7.18812064856079,0.723010398617104,11.1832647961943,2.9016889423749,-5,-4,-3,-2,-2,10,4,6.24766227404277
