mode,run,tile,out_name,year,original,mean_height,mean_change,mean_abs_change,relative_mean_change,relative_mean_abs_change,mae,rmse,correlation,SD,sd_change,relative_sd_change,wasserstein,q05_shift,q25_shift,q50_shift,q75_shift,q95_shift,shuffle_percentage,patch_size
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_10.0_ 64x 64_ST512,2020,FALSE,21.5471854658775,-0.732806958807434,1.20280381365652,-3.28908082569869,5.39858268678709,1.20280381365652,4.23805675383,0.964780123844341,15.7241256746489,-0.00719613206852188,-0.0457439759794951,0.745545681392483,0,0,-1,0,0,10,64
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_15.0_ 64x 64_ST512,2020,FALSE,15.1684846894281,0.465328305254866,2.27798214067509,3.1648191252033,15.4931504580006,2.27798214067509,3.78866910187038,0.908391882686118,8.95376825946603,0.471190457570012,5.55480266228377,0.507359990224439,0,0,1,1,1,15,64
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_15.0_ 64x 64_ST512,2020,FALSE,8.02831125258366,-1.40411838524747,1.79306420064558,-14.8860732511155,19.0095687907816,1.79306420064558,4.05651371757105,0.895598920849083,7.53940796482636,-1.01133370229336,-11.827438386804,1.40411838524819,0,-1,-1,-4,-2,15,64
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_15.0_ 64x 64_ST512,2020,FALSE,21.202379263685,-1.07761316099989,1.76818743283372,-4.83668549099666,7.93621200191556,1.76818743283372,5.20526582570902,0.947521225489751,15.7062468325697,-0.0250749741477225,-0.159395214564966,1.09694852809194,0,0,-2,0,0,15,64
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_20.0_ 64x 64_ST512,2020,FALSE,14.9116733583403,0.208516974167051,2.37991080298127,1.4181783062003,16.1863938653543,2.37991080298127,3.89873841835052,0.897660952418492,8.70206534163471,0.219487539738692,2.58750989221263,0.222900073477191,0,0,1,0,0,20,64
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_20.0_ 64x 64_ST512,2020,FALSE,7.64699914020267,-1.78543049762846,2.25941908524457,-18.9286383909777,23.9537337886158,2.25941908524457,4.65954799807631,0.864296752620578,7.22872014493263,-1.32202152218709,-15.4608988746634,1.78543049762876,0,-1,-1,-4,-3,20,64
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_20.0_ 64x 64_ST512,2020,FALSE,20.8990778175818,-1.38091460710313,2.27285583191185,-6.1980030369003,10.2013312598511,2.27285583191185,5.95420333468565,0.932070897637314,15.695233375969,-0.0360884307484302,-0.229404948877342,1.40492912980588,0,0,-3,-1,0,20,64
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_25.0_ 64x 64_ST512,2020,FALSE,14.5962539849001,-0.106902399273162,2.57085908781339,-0.727071089227028,17.48508293485,2.57085908781339,4.12163692233104,0.880557042691015,8.37171168676628,-0.110866115129737,-1.30698612755377,0.154830802604223,0,1,0,0,0,25,64
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_25.0_ 64x 64_ST512,2020,FALSE,7.20773106343794,-2.2246985743932,2.80136828813619,-23.5856365731103,29.6993287593749,2.80136828813619,5.32398834468163,0.824923573694543,6.86612608708439,-1.68461558003533,-19.7013972076037,2.22469857439359,0,-1,-1,-5,-4,25,64
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_25.0_ 64x 64_ST512,2020,FALSE,20.4794180843657,-1.80057434031921,2.957428654079,-8.08157519086174,13.2739212729818,2.957428654079,6.89993850307245,0.909971461783323,15.6616667429022,-0.0696550638151852,-0.442779473149179,1.83335310809963,0,0,-4,-1,0,25,64
