"tile","out_name","band","increment","decrease","shuffle_percentage","shuffle_tile_size","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","quantile_shift","wasserstein","year"
"34UFD","34UFD_shuffle15.0_local-NA","",NA,NA,15,NA,6.86426897440267,1.64813090315432,2.89482731082581,62.9365018053551,75.2111928536369,0.803916407978593,3.08126063325951,2,2.43921459931173,"2020"
"35VML","35VML_shuffle15.0_local-NA","",NA,NA,15,NA,6.01383598673443,1.62711625454235,1.69101319585799,36.6775321953628,37.9683294794864,0.747515623789011,1.23967868033118,2,1.6271162545422,"2020"
"49NHC","49NHC_shuffle15.0_local-NA","",NA,NA,15,NA,34.0128863436454,-5.0959529685431,6.91064570199365,-16.0448535650547,21.0292088514365,0.602009119963621,7.40232149268716,-8,5.58636827852895,"2020"
"49UCP","49UCP_shuffle15.0_local-NA","",NA,NA,15,NA,3.5592609895473,0.432039631223879,1.42185018206402,2.1480496014886,56.2284675389565,0.834821895091916,2.16340724458161,0,0.640345012533589,"2020"
"55HEV","55HEV_shuffle15.0_local-NA","",NA,NA,15,NA,9.7860428352862,2.74690395759643,3.78095387312838,70.6890147904394,76.9170227841466,0.899773802202708,3.36532063384914,3,3.44696929950205,"2020"
"10TES","10TES_shuffle20.0_local-NA","",NA,NA,20,NA,23.511339769038,2.88147048833205,3.26152028338815,22.041775262516,23.8958729646514,0.912563289110739,3.32241327611665,5,2.88164670200333,"2020"
"17SNB","17SNB_shuffle20.0_local-NA","",NA,NA,20,NA,20.6552580251362,7.24403830756019,7.41876055671741,45.671812398049,46.5441421262471,0.569083159403504,4.36590456450826,6,7.2440383075602,"2020"
"20MMD","20MMD_shuffle20.0_local-NA","",NA,NA,20,NA,32.7241398510736,-5.89251664225009,6.37333601251738,-15.509878897305,18.3284796209905,0.832931344188557,3.08463894138324,-1,6.12783700004248,"2020"
"32TMT","32TMT_shuffle20.0_local-NA","",NA,NA,20,NA,18.5779045014897,1.58707039873102,4.835211478291,26.8128773240032,39.6587937581414,0.891151070942592,5.58313312136187,7,4.18687725235867,"2020"
"32UQU","32UQU_shuffle20.0_local-NA","",NA,NA,20,NA,11.3578076694143,2.76049978349357,4.15077000096263,54.1057759606313,64.0215356495831,0.809383951018281,4.28103868695094,3,2.96260874716452,"2020"
"33NTG","33NTG_shuffle20.0_local-NA","",NA,NA,20,NA,19.5963605170037,-2.99178334945173,5.41589128044694,4.86849524913395,39.4659145515535,0.925605053403345,6.10422946782035,1,4.66209642855743,"2020"
"34UFD","34UFD_shuffle20.0_local-NA","",NA,NA,20,NA,7.93114990264829,2.71501183139993,3.63836579397623,73.7033025898811,82.4434538724763,0.753911869853114,3.33152230858603,2,3.12518062904479,"2020"
"35VML","35VML_shuffle20.0_local-NA","",NA,NA,20,NA,7.67414099662929,3.28742126443721,3.30227120829731,59.1916077713927,59.606370623263,0.670365969105122,1.50872960890475,3,3.28742126443716,"2020"
"49NHC","49NHC_shuffle20.0_local-NA","",NA,NA,20,NA,30.4425196226309,-8.66631968955756,8.97411520682029,-26.8114561280916,28.0481703523201,0.622538832684398,6.61590797782437,-10,8.67735844481792,"2020"
"49UCP","49UCP_shuffle20.0_local-NA","",NA,NA,20,NA,8.20951391610348,5.08229255778005,5.15287552460668,103.261704412559,104.167817009322,0.730930012246157,4.54511519329508,1,5.08229255777899,"2020"
"55HEV","55HEV_shuffle20.0_local-NA","",NA,NA,20,NA,8.31238181672061,1.27324293903084,2.91921304858834,52.6862013395067,66.4409463974238,0.885812806153532,3.37936812468324,2,2.25418783522236,"2020"
"10TES","10TES_shuffle25.0_local-NA","",NA,NA,25,NA,23.9745576047372,3.34458192977197,3.78798326799758,23.8264834791657,25.9881818373623,0.9058242751315,3.38567918928866,6,3.34486443538524,"2020"
"17SNB","17SNB_shuffle25.0_local-NA","",NA,NA,25,NA,24.8574968721039,11.4462771545279,11.4653054008381,62.8965100298611,63.0184876326504,0.574925198998804,4.45869449558314,9,11.4462771545274,"2020"
"20MMD","20MMD_shuffle25.0_local-NA","",NA,NA,25,NA,32.9618429546988,-5.65481353862484,6.17690698925332,-14.7798719579743,17.7722798414321,0.820223521069815,3.15757123275889,-1,5.90889257966581,"2020"
"32TMT","32TMT_shuffle25.0_local-NA","",NA,NA,25,NA,18.2642786376982,1.2734445349395,5.26577125770678,25.5111089152608,41.6340851132387,0.856232011406032,6.14601462059917,8,4.53275589226227,"2020"
"32UQU","32UQU_shuffle25.0_local-NA","",NA,NA,25,NA,12.6528728590621,4.05556497314137,5.00384343038095,64.6409192987287,70.6589765501373,0.800328310101083,4.36739557927094,4,4.05556516345328,"2020"
"33NTG","33NTG_shuffle25.0_local-NA","",NA,NA,25,NA,20.1775297709228,-2.41061409553259,5.82301962272565,12.1818439692875,43.3427871105006,0.924399958805767,6.52464139566711,2,5.21530657142424,"2020"
"34UFD","34UFD_shuffle25.0_local-NA","",NA,NA,25,NA,8.05762151711543,2.84148344586708,3.8476798791977,76.1145752562733,85.0081170709167,0.731508703419273,3.45993654094993,3,3.28364038360741,"2020"
"35VML","35VML_shuffle25.0_local-NA","",NA,NA,25,NA,7.75180535233586,3.36508562014378,3.38039585678429,60.4450775109925,60.7919000845541,0.593115051868111,1.59853372767476,4,3.3650856201437,"2020"
"49NHC","49NHC_shuffle25.0_local-NA","",NA,NA,25,NA,34.2872305452509,-4.82160876693762,7.41742451769533,-15.9020539130535,22.685933208557,0.547098509111063,8.50056138567223,-10,5.77530770495361,"2020"
