"tile","band","increment","decrease","shuffle_percentage","shuffle_tile_size","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"10TES","",NA,NA,25,NA,23.8150293302208,3.521210859207,3.94303150430705,25.4176821223175,27.3515531700109,0.891354336860026,3.62709513811657,"10TES_shuffle25.0_local-NA","2020"
"17SNB","",NA,NA,25,NA,24.2241836514795,8.1441554858541,8.20745512905717,45.0083734270957,45.3455709702276,0.696895075773208,4.36876566244984,"17SNB_shuffle25.0_local-NA","2020"
"20MMD","",NA,NA,25,NA,29.566314538985,-1.63453135420419,2.26167019399971,-6.22205621256234,8.54386896477943,0.834857381495241,3.06499962622533,"20MMD_shuffle25.0_local-NA","2020"
"32TMT","",NA,NA,25,NA,18.7228257782017,2.16593904905961,5.00876455690259,29.6344031800809,41.1398413991818,0.87016485726251,5.57775329769123,"32TMT_shuffle25.0_local-NA","2020"
"32UQU","",NA,NA,25,NA,11.6239360319509,3.1306785101257,4.49352410640144,58.1304865363329,67.6571127797053,0.782386860914902,4.41513398690013,"32UQU_shuffle25.0_local-NA","2020"
"33NTG","",NA,NA,25,NA,21.2995343681336,1.70001229596925,4.79826133348441,20.8344291444876,37.9537170072044,0.896892398657922,5.68299308453535,"33NTG_shuffle25.0_local-NA","2020"
"34UFD","",NA,NA,25,NA,7.44763048192646,3.25622584514882,3.82374247683322,86.1416144388621,91.5443651965231,0.711549408337418,2.9299380496211,"34UFD_shuffle25.0_local-NA","2020"
"35VML","",NA,NA,25,NA,8.32118829842547,3.00457528064845,3.10417156097607,50.6752122623235,52.1029678320446,0.626665135451441,2.04169582558383,"35VML_shuffle25.0_local-NA","2020"
"49NHC","",NA,NA,25,NA,32.7661048620488,-6.78910810389933,7.42345781815343,-20.1328324945418,22.5566898448182,0.560303848320862,6.83439579687874,"49NHC_shuffle25.0_local-NA","2020"
"49UCP","",NA,NA,25,NA,6.62436685451385,4.32457796347712,4.38740177470368,127.653981643574,128.116100303845,0.772036695248399,3.4626156060027,"49UCP_shuffle25.0_local-NA","2020"
"55HEV","",NA,NA,25,NA,12.8798680774723,2.31406443242625,3.08850816217982,28.2843150188849,34.6843866037791,0.879800239787295,2.95885767971859,"55HEV_shuffle25.0_local-NA","2020"
