"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_shuffle_50.0_ 1x 1_local","2020",FALSE,13.623039936074,-10.5167570025437,13.8729283496392,-43.5660541357724,57.4691178426853,13.8729283496392,15.9689495914014,0.853993822250133,4.43624582106535,-11.1454071205745,-71.5290422801673,13.4477424826569,5,5,-16,-21,-21,50,1,27.7113820513089
"shuffle","2026-06-04_shuffle_2","35VML","35VML_shuffle_50.0_ 1x 1_local","2020",FALSE,5.06961568324575,2.82217335548411,2.90072188555646,125.572670792175,129.067689511991,2.90072188555646,3.30096025577927,0.265425160869534,1.13727354689799,-0.4796559599213,-29.6646179006806,2.82217335548437,3,3,3,3,2,50,1,27.6317754189173
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_shuffle_50.0_ 1x 1_local","2020",FALSE,15.2096015834724,-24.8940999987189,24.9317121494901,-62.0743198672053,62.1681070970303,24.9317121494901,25.5303825477183,0.504363309503648,2.30203998261253,-4.16307026733115,-64.3928735378862,24.9020371488529,-16,-24,-27,-27,-28,50,1,21.6149446725845
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_65.0_ 1x 1_local","2020",FALSE,16.152386638589,0.185687927098309,7.70701313852016,1.16297006947764,48.269296476257,7.70701313852016,8.75503263215952,0.674130000382214,1.69077901562264,-8.11254351758986,-82.7530002211548,7.40294459489722,10,8,2,-8,-13,65,1,71.0313453396161
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_shuffle_65.0_ 1x 1_local","2020",FALSE,13.302442792217,-10.8373475759178,14.9438403474905,-44.8941246408809,61.9054271789236,14.9438403474905,17.0695988667757,0.755911069884115,3.41980435560985,-12.1618254298396,-78.0523321199471,14.4756664025685,6,6,-17,-22,-23,65,1,28.9011250575384
"shuffle","2026-06-04_shuffle_2","35VML","35VML_shuffle_65.0_ 1x 1_local","2020",FALSE,3.0808794461994,0.823424904242214,0.854214288161657,36.475813308219,37.8397115992893,0.854214288161657,1.16157993054292,0.922512074149038,2.02687536392675,0.400433029744937,24.6201799676086,0.823425644068533,0,0,1,2,1,65,1,28.0462703148524
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_shuffle_65.0_ 1x 1_local","2020",FALSE,14.2472493652098,-25.8564522169815,25.9015193694729,-64.4739792011206,64.5863557417224,25.9015193694729,26.5365228724924,0.400541138374939,1.85537256941184,-4.60973768053184,-71.3017644296475,25.8676804130158,-16,-25,-28,-29,-30,65,1,21.6797765453657
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_80.0_ 1x 1_local","2020",FALSE,16.0921628195586,0.125448875623263,8.13242446868701,0.785690005243145,50.9336141252533,8.13242446868701,9.20728449468107,0.501589979571034,1.33498972613855,-8.46833132324662,-86.3822706671197,7.7191510130362,11,8,2,-8,-14,80,1,75.7474207282066
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_shuffle_80.0_ 1x 1_local","2020",FALSE,13.2122455468802,-10.9275396131836,15.8739909742963,-45.2677583529692,65.7586257252934,15.8739909742963,17.9630874588142,0.566222131653148,2.63283061065548,-12.948783730014,-83.1029663994216,15.2193145183834,8,7,-18,-23,-24,80,1,29.4028253038724
"shuffle","2026-06-04_shuffle_2","35VML","35VML_shuffle_80.0_ 1x 1_local","2020",FALSE,6.10475494158818,3.84730039963099,3.87486935709704,170.426483817275,171.6477246863,3.87486935709704,4.20616858295745,0.149701808616588,0.794936085887553,-0.831506248294258,-51.1242379037404,3.84746541786493,5,5,4,4,2,80,1,28.7823720773061
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_shuffle_80.0_ 1x 1_local","2020",FALSE,13.6470853067302,-26.4566162754611,26.5115817972485,-65.9705095332387,66.1075680081894,26.5115817972485,27.1845352109588,0.256602249359739,1.62872852664797,-4.83638172329572,-74.8074129646566,26.4707126623204,-16,-25,-28,-29,-31,80,1,21.7763288418452
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_100.0_ 1x 1_local","2020",FALSE,15.950884204278,-0.015847469465978,8.73456498275077,-0.0992530581073013,54.7047771655989,8.73456498275077,9.86402992214606,0.00236941916973402,1.11605182236128,-8.68726965855821,-88.615574583232,7.93310092990309,11,8,2,-8,-14,100,1,76.5565117001534
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_shuffle_100.0_ 1x 1_local","2020",FALSE,13.3327075844177,-10.8070781812615,17.1296765261651,-44.7687410574558,70.9603502385644,17.1296765261651,19.0925215219645,-0.00988022988765792,2.07508055064835,-13.506529290063,-86.6825021813432,15.5804862381506,9,7,-18,-23,-24,100,1,30.5063571929932
"shuffle","2026-06-04_shuffle_2","35VML","35VML_shuffle_100.0_ 1x 1_local","2020",FALSE,6.04312870465079,3.78567416269361,3.82261669960666,167.696584464176,169.333053160508,3.82261669960666,4.18089304699033,0.0183201858379685,0.739804480601371,-0.88663785358044,-54.5139434055907,3.78586821910509,5,5,4,3,2,100,1,31.3470393975576
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_shuffle_100.0_ 1x 1_local","2020",FALSE,13.075995753186,-27.0277058290053,27.1015350882345,-67.3945415577484,67.5786374299907,27.1015350882345,27.8278536649643,0.0152395925010395,1.54925455470961,-4.91585569523407,-76.0366877777048,27.0413856908494,-17,-26,-29,-30,-32,100,1,24.1502893686295
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_2.5_ 2x 2_local","2020",FALSE,15.5726359480681,-0.394005323256826,0.767763596256435,-2.46767818329102,4.80854791693284,0.767763596256435,1.1051028849561,0.996601835142741,9.12661247149744,-0.676710360768498,-6.90286724559578,0.637284129442546,0,1,0,-1,-2,2.5,2,33.7371370871862
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_shuffle_2.5_ 2x 2_local","2020",FALSE,21.4400202981153,-2.69976193534886,2.82166242342163,-11.1838702985741,11.6888478782963,2.82166242342163,3.57143862684404,0.98881267313602,15.1532055053656,-0.428420846303437,-2.74952586228296,2.69976193534863,-1,-2,-4,-2,-2,2.5,2,14.9295040249825
"shuffle","2026-06-04_shuffle_2","35VML","35VML_shuffle_2.5_ 2x 2_local","2020",FALSE,2.77315465729147,0.51570011533428,0.59616625762755,22.8443189330924,26.4087823939383,0.59616625762755,0.947189461486514,0.8997106418036,1.82002610184446,0.193583767662653,11.9022828903452,0.515712063527378,0,0,1,1,1,2.5,2,15.9209285537402
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_shuffle_2.5_ 2x 2_local","2020",FALSE,38.4053717471616,-1.69832983502969,1.74409022657846,-4.23484558289218,4.34895073963184,1.74409022657846,2.33978810571439,0.97014166980507,6.63474558174346,0.169635331799777,2.62385829849159,1.69833329262513,-2,-2,-2,-1,-2,2.5,2,10.649792444706
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_5.0_ 2x 2_local","2020",FALSE,15.2084849365778,-0.758157529420149,1.38757266848408,-4.74838420810572,8.6904474214852,1.38757266848408,1.83110101827907,0.993240674827528,8.51914840531978,-1.28417482795937,-13.0993827032042,1.20899661725997,0,1,0,-2,-3,5,2,35.478111008803
