"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"49NHC","B12",0.1,"False",-2.39783855058655,3.8317600549208,-5.07033448100689,9.55691178465614,0.877557642637533,3.94082351771996,"49NHC_B12_10_I","2020"
"49UCP","B12",0.1,"False",1.68918004661604,2.26110504719142,13.3306990892949,46.1496753488247,0.890891316601265,3.2170150656673,"49UCP_B12_10_I","2020"
"55HEV","B12",0.1,"False",2.74324578883226,3.15760429117657,42.549694841118,57.9550016820447,0.907429041539041,3.34369815041796,"55HEV_B12_10_I","2020"
"10TES","B05",0.1,"True",-5.42001193912548,5.43988327681477,-33.5028157666328,35.0204829370894,0.938677685303449,2.73844876495062,"10TES_B05_10_D","2020"
"17SNB","B05",0.1,"True",-4.69709244438547,5.18803716264455,-27.3184886810489,30.0246145033571,0.694604725376652,5.16221312260009,"17SNB_B05_10_D","2020"
"20MMD","B05",0.1,"True",-0.39815230764582,1.27904386633683,-0.909185715554965,4.20603689668681,0.920336547713817,1.64722578314631,"20MMD_B05_10_D","2020"
"32TMT","B05",0.1,"True",0.18037156886827,1.37638584167191,-4.95997473081099,11.4718234168657,0.992044832512361,1.80279965083906,"32TMT_B05_10_D","2020"
"32UQU","B05",0.1,"True",-1.71242525995132,2.01493244736285,-10.2825045735314,27.2975506874089,0.973150159471006,2.52248589446596,"32UQU_B05_10_D","2020"
"33NTG","B05",0.1,"True",-1.36886329413094,1.65510022627888,-7.2652877926907,19.4896619518285,0.990896373329531,2.03758850711195,"33NTG_B05_10_D","2020"
"34UFD","B05",0.1,"True",-1.12200919817789,1.22011178661653,-28.5899812854618,34.0138747288432,0.970384330539492,1.28029737061884,"34UFD_B05_10_D","2020"
"35VML","B05",0.1,"True",-1.49309861804259,1.56651635213219,-47.734760213269,50.9864907617749,0.819888421031836,1.15674025211891,"35VML_B05_10_D","2020"
