"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","shuffle_type","time_min","location"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_5.0_ 1x 1_local",2020,FALSE,3.58361962240513,0.903951386055017,0.975730244833502,33.733705306977,36.4123525292262,0.975730244833502,1.3342238823046,0.857142996017008,1.82673455659137,-0.0178039770023521,-0.965226623250023,0.903951866875129,1,1,2,1,1,5,1,"local",22.4910345514615,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_5.0_ 1x 1_local",2020,FALSE,3.10690854186296,0.650834453900901,1.12569346585866,26.498974810688,45.8330419011385,1.12569346585866,1.76624698861904,0.903532609904665,3.53458746336211,-0.292992414419147,-7.6547694306771,0.829231453849558,0,1,1,1,0,5,1,"local",22.1327003041903,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_10.0_ 1x 1_local",2020,FALSE,30.0427838792255,-1.10299227308987,1.38790927243384,-3.54138637514054,4.45617173142968,1.38790927243384,1.81121462444829,0.961610514121753,4.79536892649286,-0.392294023428597,-7.5620568879583,1.15666714799811,0,-2,-1,-1,-2,10,1,"local",11.4412189324697,"Brazil"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_10.0_ 1x 1_local",2020,FALSE,4.34933141086663,1.66966317451651,1.72126351163428,62.3085780495986,64.2342021405886,1.72126351163428,2.08082490788001,0.759355511571346,1.71938394702023,-0.125154586573485,-6.78514350847665,1.66966317451649,2,2,2,2,1,10,1,"local",24.8857319156329,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_10.0_ 1x 1_local",2020,FALSE,3.66519020296231,1.20911617012184,1.85125799302339,49.2296304571685,75.374682044189,1.85125799302339,2.54079452511447,0.813242754296852,3.29311155219051,-0.534468347982601,-13.9636104776919,1.50590537273693,0,1,2,2,0,10,1,"local",23.6977855364482,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_15.0_ 1x 1_local",2020,FALSE,29.6733581054325,-1.47242207925848,1.79603366049153,-4.7275170842637,5.76653931878171,1.79603366049153,2.25417769464878,0.946021314481614,4.61373197038077,-0.573924494084484,-11.0632710168029,1.53953775605734,0,-2,-1,-1,-2,15,1,"local",11.9151283343633,"Brazil"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_15.0_ 1x 1_local",2020,FALSE,5.27083706002682,2.59126721621427,2.63659320999922,96.7045969037836,98.3961368309708,2.63659320999922,3.09224629313898,0.603096215073075,1.93860671899672,0.0941068127137865,5.10202317675537,2.59126721621428,2,3,3,3,2,15,1,"local",21.4983978748322,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_15.0_ 1x 1_local",2020,FALSE,3.72905940503563,1.31157247845885,2.31552801298453,54.253550000209,95.7824419867027,2.31552801298453,3.2364542003086,0.657938578260735,3.32737770514004,-0.435240286431448,-11.567485389333,1.56326274521655,0,1,2,2,0,15,1,"local",21.048911245664,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_20.0_ 1x 1_local",2020,FALSE,29.3665822238124,-1.77921220617625,2.13959185564839,-5.71252793110051,6.86960116062505,2.13959185564839,2.62405059137198,0.931499356572515,4.43301412319118,-0.754617800062571,-14.5464792264842,1.86063493658908,0,-2,-2,-2,-3,20,1,"local",14.6229341069857,"Brazil"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_20.0_ 1x 1_local",2020,FALSE,5.32700604595214,2.64733780960203,2.68683675548255,98.793491436383,100.267515173528,2.68683675548255,3.03768905849558,0.613427032149885,1.4431051386812,-0.401433394912518,-21.7633509737747,2.64733993630645,3,3,3,2,2,20,1,"local",24.0633009711901,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_20.0_ 1x 1_local",2020,FALSE,4.44493519617199,1.98886114218708,2.75655460453309,80.9772465516749,112.234181215369,2.75655460453309,3.43218438188718,0.687430946996961,2.94288601590867,-0.884693894927304,-23.1136623019343,2.41227327025939,1,2,3,3,-1,20,1,"local",24.0381241242091,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_25.0_ 1x 1_local",2020,FALSE,29.0929135606235,-2.0528870469504,2.44935171940705,-6.5912161733007,7.86414756283846,2.44935171940705,2.95823886694461,0.917092377845904,4.24813396054222,-0.93949014168517,-18.1102200770828,2.15332265217794,0,-2,-2,-2,-3,25,1,"local",12.5757385174433,"Brazil"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_25.0_ 1x 1_local",2020,FALSE,5.60085337060947,2.92118513425935,2.96032873559284,109.012940282421,110.473703253094,2.96032873559284,3.3121576371478,0.557511151541157,1.33207537640499,-0.512463157188729,-27.7827298186228,2.92118803767282,3,4,4,2,2,25,1,"local",24.9329299171766,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_25.0_ 1x 1_local",2020,FALSE,4.73270511337837,2.27663162751241,3.07051416216577,92.6939540129321,125.017194307733,3.07051416216577,3.72299502050678,0.644462192675912,2.8014466182566,-1.02613259248803,-26.8089185354416,2.72838750656438,1,3,3,4,-1,25,1,"local",25.4895525376002,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_30.0_ 1x 1_local",2020,FALSE,28.8402705021232,-2.30553458580756,2.73176225117157,-7.40239200527512,8.7708834093685,2.73176225117157,3.26286344145389,0.903116690418851,4.0776794056411,-1.1099363759429,-21.3958863315045,2.42460592243626,0,-2,-2,-3,-4,30,1,"local",13.396339571476,"Brazil"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_30.0_ 1x 1_local",2020,FALSE,5.7845100605457,3.10484182419558,3.14515977314427,115.866650284461,117.371237621124,3.14515977314427,3.50013638876691,0.509409988184415,1.242095014507,-0.602443519086722,-32.6609343266459,3.10484615157641,4,4,4,3,2,30,1,"local",26.341806836923,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_30.0_ 1x 1_local",2020,FALSE,4.98041823518513,2.52434526756777,3.33526585397319,102.779734187484,135.79669244146,3.33526585397319,3.96515986907233,0.608416124143658,2.67939230787414,-1.14818604049124,-29.9977148993328,2.9918118076901,1,3,4,4,-1,30,1,"local",25.1956688960393,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_50.0_ 1x 1_local",2020,FALSE,27.9505279745256,-3.19529867678331,3.75239976146569,-10.2591551431788,12.0478412837631,3.75239976146569,4.37891658751984,0.834216674160664,3.44336335437991,-1.74421707813932,-33.6229404214227,3.41995453106434,0,-3,-3,-4,-5,50,1,"local",14.4756051540375,"Brazil"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_50.0_ 1x 1_local",2020,FALSE,6.08136740095386,3.40169916460374,3.45278088176433,126.944788106944,128.851058311131,3.45278088176433,3.82561598543045,0.362177992173638,0.996305093291691,-0.848233440302028,-45.9862141589101,3.40185533867124,5,4,4,3,2,50,1,"local",28.5432144959768,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_50.0_ 1x 1_local",2020,FALSE,5.70230976976277,3.24623707862344,4.109628230487,132.171864877401,167.325187292425,4.109628230487,4.68747495398145,0.484411074463946,2.32505335280063,-1.50252487340597,-39.2552361991848,3.73767585924139,2,4,5,4,-1,50,1,"local",27.9826039512952,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_65.0_ 1x 1_local",2020,FALSE,27.3503339005974,-3.79551907029311,4.47052216378265,-12.186274281332,14.3535069274259,4.47052216378265,5.16920473824085,0.758362333987942,2.99553757304644,-2.19200158287182,-42.2551332527495,4.13436545051506,1,-3,-4,-5,-6,65,1,"local",14.6365827004115,"Brazil"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_65.0_ 1x 1_local",2020,FALSE,6.1206670006702,3.44099876432008,3.50360172628101,128.411372633463,130.747593256288,3.50360172628101,3.89335349840797,0.263765331609277,0.876542601333738,-0.96799593225998,-52.4790301005006,3.44185713915665,5,5,4,3,1,65,1,"local",29.2455177585284,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_65.0_ 1x 1_local",2020,FALSE,5.86541334026449,3.43647896139087,4.37474251526078,141.480930538127,180.109539117706,4.37474251526078,5.16135461692839,0.344718321175985,2.79552515292821,-0.986634405652906,-26.0865357574455,3.69270029246597,2,4,5,4,0,65,1,"local",25.306497490406,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_80.0_ 1x 1_local",2020,FALSE,26.8147294795917,-4.3311508051998,5.20562385040394,-13.9060150671506,16.7136834881686,5.20562385040394,5.97381898182565,0.62657343479139,2.4872440106067,-2.70024671225207,-52.0530417597354,4.8507711557179,1,-4,-5,-6,-7,80,1,"local",16.4970501343409,"Brazil"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_80.0_ 1x 1_local",2020,FALSE,6.10502442487513,3.42535618852501,3.50142995435436,127.827622168279,130.666546957452,3.50142995435436,3.91033291416876,0.162492031846179,0.794848937131382,-1.04968959646234,-56.9079787353221,3.42830995886556,5,5,4,3,1,80,1,"local",31.6322166641553,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_80.0_ 1x 1_local",2020,FALSE,6.1595496550709,3.72724792938324,4.7200924515122,153.239538089357,194.058672970671,4.7200924515122,5.50143322268068,0.258004241421907,2.70374319165193,-1.08410540439462,-28.6206108007095,3.98259587529697,2,4,5,5,0,80,1,"local",25.888121898969,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_100.0_ 1x 1_local",2020,FALSE,26.3117435801544,-4.83416546315796,6.39028449522193,-15.5210286411466,20.5172515155535,6.39028449522193,7.36709749496063,-0.0382698748035834,1.81015403478675,-3.37729218500128,-65.1051026248381,5.65147357571039,2,-5,-6,-6,-8,100,1,"local",16.6376031279564,"Brazil"
"shuffle","2026-06-22_shuffle_g5","35VML","35VML_shuffle_100.0_ 1x 1_local",2020,FALSE,6.04413538314709,3.36446714679697,3.46261717574281,125.555361710732,129.218129646494,3.46261717574281,3.90207981629002,0.0158645700122253,0.739981923383495,-1.10455661021022,-59.8825446090418,3.36858477917612,5,5,4,2,1,100,1,"local",33.1712800900141,"Finland"
"shuffle","2026-06-22_shuffle_g5","49UCP","49UCP_shuffle_100.0_ 1x 1_local",2020,FALSE,6.5544737465967,4.09840221430069,5.19466418052554,166.868194203993,211.502967736018,5.19466418052554,5.82093865449753,0.0942304795724195,1.96260057109325,-1.86497631766128,-48.724725116316,4.58644982434524,4,5,5,5,-1,100,1,"local",31.847171596686,"Mongolia"
"shuffle","2026-06-22_shuffle_g5","20MMD","20MMD_shuffle_2.5_ 2x 2_local",2020,FALSE,30.9203618249817,-0.225404823899705,0.378720148576418,-0.723709345288506,1.21596027108878,0.378720148576418,0.720602488043684,0.991267567968339,5.16470222626455,-0.022975093447446,-0.442878229147866,0.225404823899725,0,-1,0,0,-1,2.5,2,"local",8.39998430013657,"Brazil"
