"tile","band","increment","decrease","shuffle_percentage","shuffle_tile_size","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"32UQU","",NA,NA,20,512,11.4626330552625,3.51549359245454,4.32025738452339,62.665444183166,68.5813482199541,0.829279915822295,3.77740854782587,"32UQU_shuffle20_local-512","2020"
"33NTG","",NA,NA,20,512,19.9557688722018,-2.23833641518973,6.28685597548505,27.6625625671959,58.9150732039357,0.925060477522424,7.02143288525365,"33NTG_shuffle20_local-512","2020"
"34UFD","",NA,NA,20,512,7.39934831607713,2.95908562766119,3.36715640322794,74.8707013498731,80.2439369493864,0.739468457015651,2.63781866684262,"34UFD_shuffle20_local-512","2020"
"35VML","",NA,NA,20,512,6.70922564412949,1.92633397780795,2.09561917686983,39.8536365156902,43.0130601137979,0.662331319733719,1.75824384943591,"35VML_shuffle20_local-512","2020"
"49NHC","",NA,NA,20,512,31.6913545525386,-7.22904797897108,8.4287992093986,-22.4564995655399,26.3141409514451,0.549951805395389,7.77832630974389,"49NHC_shuffle20_local-512","2020"
"49UCP","",NA,NA,20,512,6.57099574012701,1.97319580523617,3.05526621523576,72.6179585309068,83.292069820331,0.742650571759693,3.54208783872578,"49UCP_shuffle20_local-512","2020"
"55HEV","",NA,NA,20,512,9.25092352330742,-0.135700238503178,4.19836417469872,36.4790651392911,68.9975904466417,0.832268608475564,4.96403952294339,"55HEV_shuffle20_local-512","2020"
"10TES","",NA,NA,30,512,23.5389284886833,2.9906228846892,3.72626342521732,22.9979531912962,26.2743440236367,0.875299023110521,3.90400791343297,"10TES_shuffle30_local-512","2020"
"17SNB","",NA,NA,30,512,18.0816824034851,1.32502139604949,4.6910191327487,13.1729530645574,30.5467800859206,0.446470283244774,5.87712486625906,"17SNB_shuffle30_local-512","2020"
"20MMD","",NA,NA,30,512,32.3783364967374,0.792636955504598,2.50151761719083,2.40709340896398,8.64132846722722,0.819898511304105,3.23938762846882,"20MMD_shuffle30_local-512","2020"
"32TMT","",NA,NA,30,512,18.9350812970315,2.18432986888849,5.46314383383898,30.0170001819411,43.0782302298637,0.852375563547539,6.08347256968108,"32TMT_shuffle30_local-512","2020"
"32UQU","",NA,NA,30,512,10.8797174751938,2.93257801238581,4.58588295870488,59.5657152151313,70.8737584649421,0.745635725547332,4.53692452042477,"32UQU_shuffle30_local-512","2020"
"33NTG","",NA,NA,30,512,19.6936153623085,-2.50048992508302,5.77891119154103,21.3566930761041,57.5318027420109,0.889062571456134,7.29900872821242,"33NTG_shuffle30_local-512","2020"
