"","X","mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","band","increment","decrease","colour","time_min","location","abs_increment","model_ID","Location"
"299",299,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B03_D_25",2020,FALSE,9.44122064430319,6.76155240795307,6.85628288133331,252.327967926461,255.863124708006,6.85628288133331,7.97055929957683,0.243996870969559,4.27255529528033,2.42801676168661,131.632748108336,"B03",25,"True","Green",8.15686172644297,"Finland",25,2,NA
"300",300,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B03_D_25",2020,FALSE,32.5019233496264,-7.60177823256489,7.65826897957354,-18.9553032080724,19.0961648861219,7.65826897957354,8.3685318141605,0.872253154724817,7.13866708577958,0.673556835835893,10.4183348743629,"B03",25,"True","Green",6.83949374357859,"Malaysia",25,2,NA
"301",301,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B04_D_25",2020,FALSE,16.2025211124335,0.210638604977696,1.43550722755894,1.31715953315372,8.97647432620691,1.43550722755894,1.824989009671,0.990142031356875,10.8585504498324,1.09345365765117,11.1975711139564,"B04",25,"True","Red",19.7001148502032,"Switzerland",25,2,NA
"302",302,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B04_D_25",2020,FALSE,26.1080413950097,3.82804897032481,3.87204165527118,17.1815541825928,17.3790079523599,3.87204165527118,4.90508793241615,0.982420482771048,14.5707794466013,-1.1605423601161,-7.37727175360776,"B04",25,"True","Red",9.43164469003677,"Cameroon",25,2,NA
"303",303,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B04_D_25",2020,FALSE,2.82318105270697,0.143512816356857,0.863073466620549,5.35561881915392,32.2082209623125,0.863073466620549,1.16964086426815,0.778372520928726,1.35520644250032,-0.489332091093402,-26.5286998445099,"B04",25,"True","Red",7.29779278437297,"Finland",25,2,NA
"304",304,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B04_D_25",2020,FALSE,30.5062473300602,-9.59745425213115,9.68651390093075,-23.9315920313776,24.1536654193343,9.68651390093075,10.2600766166417,0.832216058556695,4.82470717788839,-1.64040307205529,-25.373164704648,"B04",25,"True","Red",5.47072999874751,"Malaysia",25,2,NA
"305",305,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B05_D_25",2020,FALSE,14.3891128784821,-1.60276962897363,3.48905525828947,-10.0223949758659,21.8176644098204,3.48905525828947,4.51042161204352,0.938516661714732,11.6964552960531,1.93135850387189,19.7781808514003,"B05",25,"True","RedEdge",19.6897918264071,"Switzerland",25,2,NA
"306",306,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B05_D_25",2020,FALSE,8.07545277388419,-14.2045396508008,15.8780431303971,-63.7546879731563,71.2659269704471,15.8780431303971,19.0483525648974,0.750550188383693,4.52669231012897,-11.2046294965884,-71.2249716473536,"B05",25,"True","RedEdge",10.7135438283285,"Cameroon",25,2,NA
"307",307,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B05_D_25",2020,FALSE,3.4314382669017,0.751770030551587,1.45099589262203,28.0545934886158,54.1483409378463,1.45099589262203,1.76361100426415,0.507714487045635,0.795525628759368,-1.04901290483435,-56.8712925064545,"B05",25,"True","RedEdge",10.4963714838028,"Finland",25,2,NA
"308",308,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B05_D_25",2020,FALSE,16.4645107641823,-23.6391908180091,23.6429461214842,-58.9451593877469,58.9545233699406,23.6429461214842,24.3954684071751,0.528652515269555,5.91002892439432,-0.555081325549366,-8.58579829406932,"B05",25,"True","RedEdge",6.41958502133687,"Malaysia",25,2,NA
"309",309,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B08_D_25",2020,FALSE,17.6448504053868,1.65296789793106,2.62623995470781,10.3362934111129,16.4223314765063,2.62623995470781,3.35531252815094,0.966967649973215,10.9690082902673,1.20391149808609,12.3287205821661,"B08",25,"True","NIR",21.9078544775645,"Switzerland",25,2,NA
"310",310,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B08_D_25",2020,FALSE,16.4359064774129,-5.84408594727204,14.2703009537129,-26.2301971916163,64.0498465246433,14.2703009537129,15.3930035091994,0.623445141894952,2.63084340824241,-13.100478398475,-83.2763995259507,"B08",25,"True","NIR",8.62071872154872,"Cameroon",25,2,NA
"311",311,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B08_D_25",2020,FALSE,8.43801311190865,5.75834487555853,5.92136798459549,214.890216536722,220.973921482936,5.92136798459549,6.90611064587381,-0.0459595636472073,3.25299347239223,1.40845493879851,76.3581195592815,"B08",25,"True","NIR",7.90539614756902,"Finland",25,2,NA
"312",312,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B08_D_25",2020,FALSE,29.9130018406377,-10.1906997415536,10.2479210164586,-25.4108706665594,25.5535539417872,10.2479210164586,10.5226468892098,0.927107413679619,4.99168231219293,-1.47342793775075,-22.7904533842031,"B08",25,"True","NIR",5.95187205473582,"Malaysia",25,2,NA
"313",313,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B8A_D_25",2020,FALSE,17.2920231473272,1.30014063987139,1.64802969890048,8.13000370197342,10.3054140007102,1.64802969890048,2.13264816940355,0.987508446043307,8.94284070235427,-0.822256089826981,-8.42035780418836,"B8A",25,"True","NIR2",19.7078077356021,"Switzerland",25,2,NA
"314",314,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B8A_D_25",2020,FALSE,17.2966998455294,-4.98329257915555,9.61511885018761,-22.3666708864512,43.1558443419156,9.61511885018761,10.3744298294641,0.947856153037766,7.31761690569033,-8.41370490102706,-53.4837758988209,"B8A",25,"True","NIR2",7.33215971390406,"Cameroon",25,2,NA
"315",315,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B8A_D_25",2020,FALSE,4.79135027201519,2.11168203566507,2.43602611359854,78.8038611280224,90.9077504652802,2.43602611359854,2.92168912764715,0.0908515208991433,1.00592675583343,-0.83861177776029,-45.4645843655226,"B8A",25,"True","NIR2",8.58248986403147,"Finland",25,2,NA
"316",316,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B8A_D_25",2020,FALSE,38.6580547327635,-1.44564684942778,2.13600471899744,-3.60477161058306,5.32620340449063,2.13600471899744,2.74580676445079,0.933663706452565,6.33303555125186,-0.132074698691818,-2.04288393524254,"B8A",25,"True","NIR2",5.65324496030807,"Malaysia",25,2,NA
"317",317,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B11_D_25",2020,FALSE,16.249815711432,0.257933203976194,0.945372357710852,1.61290081924964,5.9115764342947,0.945372357710852,1.30375787039265,0.993396129808523,9.08582348973483,-0.679273302446413,-6.95613486381718,"B11",25,"True","SWIR1",20.2903863549232,"Switzerland",25,2,NA
"318",318,"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B11_D_25",2020,FALSE,23.7031000702226,1.42310764553762,2.59986476215973,6.3873793958785,11.6690558623316,2.59986476215973,3.34104193454468,0.988712003347152,13.6611620904968,-2.07015971622055,-13.1594772623402,"B11",25,"True","SWIR1",7.0599285920461,"Cameroon",25,2,NA
"319",319,"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B11_D_25",2020,FALSE,4.80751092222155,2.12784268587144,2.13886639282667,79.4069451212997,79.8183283965015,2.13886639282667,2.40973914536827,0.867885905079691,2.26381457945711,0.419276045863392,22.7306742704104,"B11",25,"True","SWIR1",8.50975794394811,"Finland",25,2,NA
"320",320,"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B11_D_25",2020,FALSE,38.9068166985379,-1.19688488365346,1.64376578442272,-2.98447484006054,4.09878819054614,1.64376578442272,2.11732848316257,0.964150599446126,6.56109373193746,0.095983481993775,1.484637976508,"B11",25,"True","SWIR1",5.32556616862615,"Malaysia",25,2,NA
"321",321,"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B12_D_25",2020,FALSE,16.6045403982561,0.612657890800353,1.69747766028045,3.83105547776954,10.6146206332435,1.69747766028045,2.05711197442833,0.984033977937334,8.69500967696142,-1.07008711521982,-10.958284776825,"B12",25,"True","SWIR2",18.2459428588549,"Switzerland",25,2,NA
