"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_differece_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"20MMD","B08",0.15,"True",-3.91446660413318,3.96365144848678,-12.5955727916537,12.8828764295165,0.878705607281762,2.33978468590452,"20MMD_B08_15_D",2020
"10TES","B02",0.2,"False",4.22163184924789,4.24374940619209,24.0795997055072,24.3854638212793,0.966352389752671,2.09527863456607,"10TES_B02_20_I",2020
"17SNB","B02",0.2,"False",5.67311985556792,5.82188845247026,26.432334240378,27.0521619576889,0.769780748260597,3.78634198215128,"17SNB_B02_20_I",2020
"20MMD","B02",0.2,"False",4.66536512646497,4.67352967485826,13.0164316756724,13.047445852351,0.930563881557642,1.55039475798991,"20MMD_B02_20_I",2020
"10TES","B03",0.2,"False",1.23548080337476,1.499924852897,13.1536809621133,14.3755225922419,0.971254324103333,2.07349768429929,"10TES_B03_20_I",2020
"17SNB","B03",0.2,"False",2.83930760914204,3.44319343326561,12.8289231706655,16.6499555984969,0.809691917484564,3.88938727117394,"17SNB_B03_20_I",2020
"20MMD","B03",0.2,"False",-5.33197794482078,5.36665049578419,-17.9948280786028,18.4374140935473,0.802493390813971,3.61332270196377,"20MMD_B03_20_I",2020
"10TES","B04",0.2,"False",-4.3637898583291,4.561071897561,-26.9452826378119,33.057387122845,0.847607546072333,4.51754422206094,"10TES_B04_20_I",2020
"17SNB","B04",0.2,"False",-1.39459445889666,2.35894340077484,-7.65789923226113,14.2282327846274,0.900406709739972,2.73506976938204,"17SNB_B04_20_I",2020
"20MMD","B04",0.2,"False",-3.15695318140348,3.50876219380902,-8.75494257192792,11.0064053417663,0.915603192566413,1.94022674151113,"20MMD_B04_20_I",2020
"10TES","B08",0.2,"False",1.47582408090045,2.53627586884772,13.5864180971364,19.8647937879902,0.907796280255452,3.25225147749641,"10TES_B08_20_I",2020
"17SNB","B08",0.2,"False",2.98597037705673,3.79941404725031,12.1759446477048,18.9138730975121,0.840991273938284,3.80420007714084,"17SNB_B08_20_I",2020
"20MMD","B08",0.2,"False",-8.99001039804355,8.99606547045693,-30.3022936561058,30.4600310233152,0.846368451177557,2.35770251922252,"20MMD_B08_20_I",2020
"10TES","B02",0.2,"True",4.63493105075312,4.6606665141755,26.4154055075737,26.6693101171128,0.940435670496293,2.74151867824723,"10TES_B02_20_D",2020
"17SNB","B02",0.2,"True",6.86752048887902,6.94575937170469,30.2801666008965,30.6404135876027,0.772784719174242,3.85106491148738,"17SNB_B02_20_D",2020
"20MMD","B02",0.2,"True",3.55923065577976,3.58882462073775,10.0389200565285,10.1596693887731,0.933454651916156,1.54712412449497,"20MMD_B02_20_D",2020
"10TES","B03",0.2,"True",1.66398384929441,1.74111210396822,14.4934884870277,14.9252240888686,0.979966875875009,1.64917257148574,"10TES_B03_20_D",2020
"17SNB","B03",0.2,"True",0.728157395025705,2.62212061736684,3.00668681178736,15.1905710823898,0.821033714032228,3.70733310075384,"17SNB_B03_20_D",2020
"20MMD","B03",0.2,"True",-2.22635386778736,2.64178921650533,-7.93238620594873,9.42730176926444,0.843697329395313,3.45058026227571,"20MMD_B03_20_D",2020
"10TES","B04",0.2,"True",-4.32024315448772,4.67803599518523,-25.9811902490169,33.8289595175036,0.845752164202092,4.52928695175048,"10TES_B04_20_D",2020
"17SNB","B04",0.2,"True",-1.8547134323,2.80344980875817,-10.2114345509896,16.8359105309976,0.879148661554931,2.99712841347954,"17SNB_B04_20_D",2020
"20MMD","B04",0.2,"True",-2.4259546363829,2.94520125048528,-6.51616025977919,9.29152940639772,0.858076340493477,2.23664908625304,"20MMD_B04_20_D",2020
"10TES","B08",0.2,"True",1.21398615695464,3.10627987376583,8.73313678597234,23.3873368071674,0.876814265808217,4.01245323581278,"10TES_B08_20_D",2020
"17SNB","B08",0.2,"True",3.33629358524401,4.14140565543395,13.9185113484723,20.417880435988,0.804635217720397,4.09339815399326,"17SNB_B08_20_D",2020
"20MMD","B08",0.2,"True",-9.60398863563692,9.63722442422044,-32.2839068515838,32.7876635658328,0.815218316453025,2.50065340136825,"20MMD_B08_20_D",2020
