"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","shift_distance","time_min"
"geographical","2026-06-16_geographical_1","49NHC","49NHC_geographical_300_N","2020",FALSE,40.6949734671647,0.591271884973416,0.600369581509913,1.47435738260126,1.49704281107188,0.600369581509913,0.788536792405232,0.996894908069899,6.55913954035433,0.0940292904106492,1.45441124397636,300,5.13677323659261
"geographical","2026-06-16_geographical_1","49UCP","49UCP_geographical_300_N","2020",FALSE,2.28255376573485,-0.173520514857549,0.207387449758358,-7.06495386677376,8.44385902320253,0.207387449758358,0.542233686566726,0.994664981545428,3.47851858947855,-0.349061377797065,-9.1196364486545,300,6.64557151397069
"geographical","2026-06-16_geographical_1","55HEV","55HEV_geographical_300_N","2020",FALSE,5.91386077129861,0.460199716791841,0.511854166730225,8.43836300408775,9.38551482416096,0.511854166730225,0.903922340259494,0.99629782734602,6.36368135926056,0.576729621369344,9.96603475354894,300,8.34198346535365
"geographical","2026-06-16_geographical_1","10TES","10TES_geographical_500_N","2020",FALSE,19.0891245835287,-2.56441822231515,2.56892873671517,-11.8429498826541,11.8637802587291,2.56892873671517,2.79836426853253,0.99353168297255,7.67194905981958,-0.65438504941051,-7.85922160732293,500,19.5167763074239
"geographical","2026-06-16_geographical_1","17SNB","17SNB_geographical_500_N","2020",FALSE,13.4799798034788,-1.26358272113303,1.41740170678614,-8.57040297434017,9.61369889007517,1.41740170678614,1.80507082324397,0.973191436470651,4.38357825925807,-0.685698592164028,-13.5265563957445,500,3.53355723619461
"geographical","2026-06-16_geographical_1","20MMD","20MMD_geographical_500_N","2020",FALSE,32.2245737572089,1.07881214080418,1.1231750614526,3.46375264182322,3.60618910298542,1.1231750614526,1.32267178742463,0.989962533669771,5.35488235095351,0.167195712706179,3.22293392730187,500,3.54345014890035
"geographical","2026-06-16_geographical_1","32TMT","32TMT_geographical_500_N","2020",FALSE,15.8321997271156,-0.159682780340157,0.926914970951561,-0.998523971556879,5.79615921089599,0.926914970951561,1.20631768946452,0.995628508391549,10.4955972167868,0.730500424605582,7.48072896922519,500,16.401885664463
"geographical","2026-06-16_geographical_1","32UQU","32UQU_geographical_500_N","2020",FALSE,7.60481584427094,-1.8276137935602,1.85589587642614,-19.3758539817789,19.6756927714849,1.85589587642614,2.80346814326646,0.992273477703671,6.64245425445309,-1.90828741266663,-22.3172151253803,500,16.3928769667943
"geographical","2026-06-16_geographical_1","33NTG","33NTG_geographical_500_N","2020",FALSE,23.1250482251241,0.845055800439127,0.861121300233106,3.79289087864704,3.86499817333436,0.861121300233106,1.14514132614901,0.998985515165914,16.0241761979262,0.292854391208806,1.8616006639935,500,6.76631566683451
"geographical","2026-06-16_geographical_1","34UFD","34UFD_geographical_500_N","2020",FALSE,2.58560056049618,-1.22063937642738,1.24751483441425,-32.0694280091543,32.7755174420919,1.24751483441425,1.86066215341769,0.958719758635041,2.11745104446459,-1.18128153730023,-35.8101636922701,500,9.97108680407206
